web_scraper_order,web_scraper_start_url,rent_raw,area_raw,rooms_raw,address_raw
"1764188444-25","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 6,690.– / month","187m²","5.5","Spiegelhofstrasse 62, 8032 Zürich"
"1764188444-26","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 7,250.– / month","222m²","5.5","Haldenweg 6, 8180 Bülach"
"1764188444-27","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 6,205.– / month","152m²","4.5","Hagenholzstr. 55, 8050 Zürich"
"1764188444-28","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 5,500.– / month","144m²","5","Glärnischstrasse 111, 8708 Männedorf"
"1764188444-29","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,600.– / month","131m²","4.5","Pfarrgasse 6 OG, 8311 Brütten"
"1764188444-30","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 7,850.– / month","132m²","4.5","Hagenholzstr. 55, 8050 Zürich"
"1764188444-31","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,650.– / month","110m²","4.5","Trichtenhausenstrasse 130, 8053 Zürich"
"1764188444-32","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 2,460.– / month","79m²","2.5","Giessenplatz 8, 8600 Dübendorf"
"1764188444-33","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 2,990.– / month","58m²","2.5","Tödistrasse 63, 8810 Horgen"
"1764188444-34","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,400.– / month","88m²","4.5","Grünhaldenstrasse 28, 8052 Seebach"
"1764188444-35","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 4,450.– / month","117m²","4.5","Freihofstrasse 23, 8048 Zürich"
"1764188444-36","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 2,890.– / month","110m²","4.5","Gaswerkstrasse 9, 5610 Wohlen"
"1764188444-37","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 2,770.– / month","105m²","4.5","Gaswerkstrasse 9, 5610 Wohlen"
"1764188444-38","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,530.– / month","157m²","3.5","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg"
"1764188444-39","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,140.– / month","126m²","3.5","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg"
"1764188444-40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,525.– / month","120m²","4.5","Tobelwiesstrasse 29, 8309 Nürensdorf"
"1764188447-41","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","CHF 8,950.– / month","180m²","5","Höhestrasse 78, 8702 Zollikon"
"1764188447-42","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","Price on request","170m²","4.5","Dolderstrasse 87a, 8032 Zürich"
"1764188447-43","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","CHF 4,270.– / month","77m²","2.5","Spiserstrasse 10, 8047 Zürich"
"1764188447-44","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","CHF 2,990.– / month","58m²","2.5","Thurgauerstrasse 107, 8152 Opfikon"
"1764188447-45","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","CHF 6,690.– / month","187m²","5.5","Spiegelhofstrasse 62, 8032 Zürich"
"1764188447-46","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","CHF 7,250.– / month","222m²","5.5","Haldenweg 6, 8180 Bülach"
"1764188447-47","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","CHF 6,205.– / month","152m²","4.5","Hagenholzstr. 55, 8050 Zürich"
"1764188447-48","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","CHF 5,500.– / month","144m²","5","Glärnischstrasse 111, 8708 Männedorf"
"1764188447-49","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=3","CHF 3,600.– / month","131m²","4.5","Pfarrgasse 6 OG, 8311 Brütten"
