web_scraper_order,web_scraper_start_url,rent_raw,area_raw,address_raw,rooms_raw
"1764190736-56","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=3","CHF 1’760.– / Monat","68m²","Am Stadtbach 1a, 4800 Zofingen","2.5"
"1764190736-57","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=3","CHF 4’600.– / Monat","142m²","Theaterplatz 12, 5400 Baden","3.5"
"1764190736-58","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=3","CHF 3’270.– / Monat","112m²","Am Stadtbach 1a, 4800 Zofingen","3.5"
"1764190736-59","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=3","CHF 3’090.– / Monat","163m²","Pilatusstrasse 7, 5734 Reinach","5.5"
"1764190736-60","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=3","CHF 3’090.– / Monat","163m²","Pilatusstrasse 7, 5734 Reinach","5.5"
"1764190738-61","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’890.– / Monat","110m²","Gaswerkstrasse 9, 5610 Wohlen","4.5"
"1764190738-62","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’770.– / Monat","105m²","Gaswerkstrasse 9, 5610 Wohlen","4.5"
"1764190738-63","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 3’530.– / Monat","157m²","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg","3.5"
"1764190738-64","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 3’140.– / Monat","126m²","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg","3.5"
"1764190738-65","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 1’600.– / Monat","80m²","Rosenweg 5, 5314 Kleindöttingen","3.5"
"1764190738-66","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’360.– / Monat","125m²","Kellenäckerstrasse 6, 5303 Würenlingen","4.5"
"1764190738-67","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’350.– / Monat","93m²","Schachen 35, 5722 Gränichen","3.5"
"1764190738-68","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’430.– / Monat","98m²","Zugerstrasse19, 8917 Lunkhofen","4.5"
"1764190738-69","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’350.– / Monat","90m²","Stockweg 18, 5022 Rombach","3.5"
"1764190738-70","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 1’900.– / Monat","68m²","Schachen 32, 5722 Gränichen","2.5"
"1764190738-71","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 1’300.– / Monat","60m²","Breiteweg 22, 5314 Kleindöttingen","2.5"
"1764190738-72","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 1’350.– / Monat","65m²","Rindel, 5425 Schneisingen","2.5"
"1764190738-73","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’280.– / Monat","75m²","Feldstrasse 2D, 4663 Aarburg","3.5"
"1764190738-74","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’450.– / Monat","107m²","4324 Obermumpf","2.5"
"1764190738-75","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 2’070.– / Monat","57m²","Badenerstrasse 54, 5413 Birmenstorf AG","2.5"
"1764190738-76","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 1’760.– / Monat","68m²","Am Stadtbach 1a, 4800 Zofingen","2.5"
"1764190738-77","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 4’600.– / Monat","142m²","Theaterplatz 12, 5400 Baden","3.5"
"1764190738-78","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 3’270.– / Monat","112m²","Am Stadtbach 1a, 4800 Zofingen","3.5"
"1764190738-79","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 3’090.– / Monat","163m²","Pilatusstrasse 7, 5734 Reinach","5.5"
"1764190738-80","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=2","CHF 3’090.– / Monat","163m²","Pilatusstrasse 7, 5734 Reinach","5.5"
"1764190741-81","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’890.– / Monat","110m²","Gaswerkstrasse 9, 5610 Wohlen","4.5"
"1764190741-82","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’770.– / Monat","105m²","Gaswerkstrasse 9, 5610 Wohlen","4.5"
"1764190741-83","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 3’530.– / Monat","157m²","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg","3.5"
"1764190741-84","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 3’140.– / Monat","126m²","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg","3.5"
"1764190741-85","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 1’600.– / Monat","80m²","Rosenweg 5, 5314 Kleindöttingen","3.5"
"1764190741-86","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’360.– / Monat","125m²","Kellenäckerstrasse 6, 5303 Würenlingen","4.5"
"1764190741-87","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’350.– / Monat","93m²","Schachen 35, 5722 Gränichen","3.5"
"1764190741-88","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’430.– / Monat","98m²","Zugerstrasse19, 8917 Lunkhofen","4.5"
"1764190741-89","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’350.– / Monat","90m²","Stockweg 18, 5022 Rombach","3.5"
"1764190741-90","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 1’900.– / Monat","68m²","Schachen 32, 5722 Gränichen","2.5"
"1764190741-91","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 1’300.– / Monat","60m²","Breiteweg 22, 5314 Kleindöttingen","2.5"
"1764190741-92","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 1’350.– / Monat","65m²","Rindel, 5425 Schneisingen","2.5"
"1764190741-93","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’280.– / Monat","75m²","Feldstrasse 2D, 4663 Aarburg","3.5"
"1764190741-94","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’450.– / Monat","107m²","4324 Obermumpf","2.5"
"1764190741-95","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 2’070.– / Monat","57m²","Badenerstrasse 54, 5413 Birmenstorf AG","2.5"
"1764190741-96","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 1’760.– / Monat","68m²","Am Stadtbach 1a, 4800 Zofingen","2.5"
"1764190741-97","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 4’600.– / Monat","142m²","Theaterplatz 12, 5400 Baden","3.5"
"1764190741-98","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 3’270.– / Monat","112m²","Am Stadtbach 1a, 4800 Zofingen","3.5"
"1764190741-99","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 3’090.– / Monat","163m²","Pilatusstrasse 7, 5734 Reinach","5.5"
"1764190741-100","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=1","CHF 3’090.– / Monat","163m²","Pilatusstrasse 7, 5734 Reinach","5.5"
